Gene_ID	Pathway_ID
SAOUHSC_00703	sao00001;sao02000
SAOUHSC_00705	sao00001;sao03016
SAOUHSC_00706	sao00001;sao03000
SAOUHSC_00707	sao00001;sao01000
SAOUHSC_00708	sao00001;sao02000;sao01000
SAOUHSC_00710	sao00001;sao01000
SAOUHSC_00711	sao00001;sao02000;sao02042
SAOUHSC_00713	sao00001;sao01003
SAOUHSC_00714	sao00001;sao02022;sao01001;sao01000
SAOUHSC_00715	sao00001;sao02022
SAOUHSC_00716	sao00001;sao01000
SAOUHSC_00719	sao00001;sao03016;sao01000
SAOUHSC_00720	sao00001;sao03016;sao01000
SAOUHSC_00721	sao00001;sao03016;sao01000
SAOUHSC_00722	sao00001;sao01000
SAOUHSC_00723	sao00001;sao01000
SAOUHSC_00724	sao00001;sao01000
SAOUHSC_00728	sao00001;sao01000
SAOUHSC_00729	sao00001;sao02000
SAOUHSC_00730	sao00001;sao03019;sao03400;sao01000
SAOUHSC_00731	sao00001;sao02000;sao01000
SAOUHSC_00732	sao00001;sao02000
SAOUHSC_00733	sao00001;sao01007;sao01000
SAOUHSC_00738	sao00001
SAOUHSC_00739	sao00001;sao03016;sao01000
SAOUHSC_00741	sao00001
SAOUHSC_00742	sao00001;sao03400;sao01000
SAOUHSC_00743	sao00001;sao03400;sao01000
SAOUHSC_00746	sao00001;sao02000
SAOUHSC_00747	sao00001;sao02000
SAOUHSC_00748	sao00001;sao02000
SAOUHSC_00749	sao00001;sao02000
SAOUHSC_00752	sao00001;sao01011;sao01000
SAOUHSC_00755	sao00001
SAOUHSC_00756	sao00001;sao01000
SAOUHSC_00757	sao00001;sao01002;sao01000
SAOUHSC_00762	sao01005;sao00001;sao01003;sao01000
SAOUHSC_00764	sao00001
SAOUHSC_00765	sao02044;sao00001
SAOUHSC_00766	sao02044;sao00001
SAOUHSC_00767	sao00001;sao03009
SAOUHSC_00769	sao02044;sao00001;sao01000
SAOUHSC_00771	sao03012;sao00001
SAOUHSC_00776	sao00001;sao03400
SAOUHSC_00778	sao00001
SAOUHSC_00779	sao00001;sao03400
SAOUHSC_00780	sao00001;sao03400
SAOUHSC_00781	sao00001
SAOUHSC_00782	sao00001;sao01000
SAOUHSC_00783	sao00001
SAOUHSC_00785	sao00001;sao01000
SAOUHSC_00787	sao00001;sao03019
SAOUHSC_00789	sao00001;sao03036
SAOUHSC_00790	sao00001;sao01002;sao01000
SAOUHSC_00792	sao00001
SAOUHSC_00794	sao00001;sao03000
SAOUHSC_00795	sao00001;sao04131;sao04147;sao01000
SAOUHSC_00796	sao00001;sao04147;sao01000
SAOUHSC_00797	sao00001;sao04147;sao01000
SAOUHSC_00798	sao00001;sao01000
SAOUHSC_00799	sao00001;sao03019;sao04147;sao01000
SAOUHSC_00801	sao02044;sao00001
SAOUHSC_00802	sao00001;sao01000
SAOUHSC_00803	sao00001;sao03019;sao03016;sao01000
SAOUHSC_00804	sao00001
SAOUHSC_00812	sao00001
SAOUHSC_00818	sao00001;sao01000
SAOUHSC_00819	sao00001
SAOUHSC_00822	sao00001
SAOUHSC_00828	sao00001;sao02000
SAOUHSC_00831	sao00001;sao01000
SAOUHSC_00832	sao00001;sao01000
SAOUHSC_00836	sao00001
SAOUHSC_00840	sao00001
SAOUHSC_00842	sao00001;sao02000
SAOUHSC_00843	sao00001;sao02000
SAOUHSC_00844	sao00001;sao02000
SAOUHSC_00846	sao00001
SAOUHSC_00847	sao00001;sao02000
SAOUHSC_00848	sao00001
SAOUHSC_00849	sao00001;sao01000
SAOUHSC_00850	sao00001
SAOUHSC_00851	sao00001
SAOUHSC_00854	sao00001;sao02000;sao02042
SAOUHSC_00855	sao00001;sao01000
SAOUHSC_00859	sao00001
SAOUHSC_00861	sao00001;sao01000
SAOUHSC_00866	sao00001;sao01000
SAOUHSC_00869	sao00001;sao01504;sao01000
SAOUHSC_00870	sao00001;sao01504
SAOUHSC_00871	sao00001;sao01504;sao01000
SAOUHSC_00872	sao00001;sao01504
SAOUHSC_00877	sao00001
SAOUHSC_00878	sao00001;sao01000
SAOUHSC_00879	sao00001;sao01002;sao01000
SAOUHSC_00880	sao00001;sao02000
SAOUHSC_00881	sao00001;sao01000
SAOUHSC_00883	sao00001;sao02000
SAOUHSC_00884	sao00001;sao02000
SAOUHSC_00885	sao00001;sao02000
SAOUHSC_00886	sao00001;sao02000
SAOUHSC_00887	sao00001;sao02000
SAOUHSC_00888	sao00001;sao02000
SAOUHSC_00889	sao00001;sao02000
SAOUHSC_00890	sao00001
SAOUHSC_00891	sao00001;sao03110;sao01000
SAOUHSC_00892	sao00001
SAOUHSC_00894	sao00001;sao01007;sao01000
SAOUHSC_00895	sao00001;sao01000
