"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02552",382.087645620677,0.544617046042042,0.2342030283635,2.32540565272605,0.0200502795100693,0.0383840242994924
"SAOUHSC_02553",369.123600214517,-0.0810551985846176,0.249858519823283,-0.324404381495357,0.745631903009281,0.805900281847155
"SAOUHSC_02554",5064.51012349628,0.194152100717378,0.235347207416322,0.824960291004979,0.409394135174896,0.501795390926024
"SAOUHSC_02555",855.417340914476,-0.0733682859161808,0.447326237831352,-0.164015163232705,0.86971920692821,0.898068610646476
"SAOUHSC_02557",630.842815790995,3.04383930434967,0.325984401959872,9.33737714457994,9.87499932561655e-21,2.88762342917205e-19
"SAOUHSC_02558",68.3909982252613,3.51609925221873,0.552379876115845,6.36536449687992,1.94826507537337e-10,1.71100111074869e-09
"SAOUHSC_02559",175.84958443302,4.16144670349079,0.36307551150548,11.4616562440014,2.0554604150414e-30,1.40245645241671e-28
"SAOUHSC_02561",1092.04123195764,2.29455682507034,0.478248244189538,4.79783638089211,1.60388709456614e-06,7.63496164336402e-06
"SAOUHSC_02562",379.889967319294,2.35596687930481,0.269516244944274,8.74146521220617,2.30106385277138e-18,5.32446166280404e-17
"SAOUHSC_02563",498.455264016855,2.50203790346306,0.304949076925259,8.20477283843783,2.31027289524098e-16,4.36002565548671e-15
"SAOUHSC_02564",746.576391645086,2.36841320529579,0.277169981969717,8.54498451984081,1.28553504902409e-17,2.71492759162945e-16
"SAOUHSC_02565",1166.45232475149,2.74522868816,0.356568622372555,7.69901925159218,1.37114513866119e-14,2.13369427717979e-13
"SAOUHSC_02566",16824.3907282225,1.16696144579968,0.35076931726465,3.32686295055628,0.000878295580922619,0.00235599248068053
"SAOUHSC_02568",2419.95246730941,-0.0137138325383004,0.266852913725873,-0.0513909791983312,0.959013972833297,0.96810932538293
"SAOUHSC_02569",1610.58798303565,-0.886363525714526,0.330680158617361,-2.68042548854635,0.00735286321103076,0.0156277707704096
"SAOUHSC_02570",3469.38513058442,-1.36300452056007,0.204153679395319,-6.6763651999667,2.44941150624086e-11,2.45957887475733e-10
"SAOUHSC_02571",8776.7666868522,3.22157919593473,0.403050021581279,7.99300092652413,1.31693138934983e-15,2.29042773010451e-14
"SAOUHSC_02572",24846.1503462531,-1.27747351105362,0.186458945022426,-6.85123210849428,7.32166060320744e-12,7.88782950005466e-11
"SAOUHSC_02573",8060.45621961932,-3.23630620969791,0.428535570143043,-7.55201303037144,4.28581595361189e-14,6.23199795221926e-13
"SAOUHSC_02574",5350.51907308322,-2.67793356777155,0.242114176101326,-11.0606227644053,1.94740659272252e-28,1.23382117696062e-26
"SAOUHSC_02575",436.273736237908,-1.54224803467902,0.424390914531629,-3.63402698283749,0.000279031661556512,0.000840887034430213
"SAOUHSC_02576",981.427652004698,-0.00902032540673044,0.340489088226452,-0.0264922598657001,0.978864707166359,0.981446490493474
"SAOUHSC_02577",6515.55262820992,-1.24652431382136,0.298246752941831,-4.17950673905401,2.92142062892916e-05,0.000106346105247339
"SAOUHSC_02579",2495.98561580721,0.68462414346195,0.272780652724403,2.50979729179563,0.0120800483840831,0.0244262984422835
"SAOUHSC_02580",3115.20380864386,-0.194323673449467,0.21103698580996,-0.920803870959647,0.357152833634018,0.451060128286721
"SAOUHSC_A02450",157.037556012998,-1.14925733558042,0.669440903018055,-1.71674203114748,0.086026316824204,0.136666286011467
"SAOUHSC_02581",7953.67265163584,-0.540504170588408,0.190221707669902,-2.84144316234592,0.00449098565343837,0.010097388047623
"SAOUHSC_02582",41953.5334048867,-0.803746130287522,0.318958527483313,-2.51990795364319,0.0117385526307073,0.0238263070559208
"SAOUHSC_02583",8572.49235741652,0.78084557858793,0.381459537349063,2.04699450959958,0.0406586236239593,0.0713199708044562
"SAOUHSC_02584",1700.84064973048,0.0369940849365814,0.344424997226165,0.107408246307655,0.914465112746573,0.931263553394042
"SAOUHSC_02585",2630.25327909614,0.211862535401516,0.331959410653707,0.638218193556581,0.523331655588726,0.607850517469053
"SAOUHSC_02587",453.619169020222,-1.2111063760789,0.408221237992154,-2.96678923917765,0.00300927164111525,0.00709271199026368
